Map_index,Spname,Spnum,Rdi,Year surveyed,ESP site name,Buffer radius,Polygon.area.m2
16.2,Nereocystis luetkeana,2,0.5,1990,Chibadehl Rocks,1000 m,84319.421
16.2,Nereocystis luetkeana,2,0.5,1990,Chibadehl Rocks,1000 m,29098.32
16.2,Nereocystis luetkeana,2,0.5,1990,Chibadehl Rocks,1000 m,52676.653
16.2,Nereocystis luetkeana,2,0.5,1990,Neah Bay,1000 m,213296.466
21.1,unspecified,9,0.18,1990,Cape Johnson,1000 m,4754.381
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,500 m,19146.096
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,500 m,12123.451
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,500 m,53500.558
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,500 m,2622.895
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,500 m,2198.608
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,500 m,11327.608
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,500 m,8043.017
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,500 m,11893.263
19.1,Macrocystis integrifolia,1,0.49,1991,Cape Alava,500 m,134835.251
19.1,Macrocystis integrifolia,1,0.49,1991,Cape Alava,500 m,19062.208
19.1,Macrocystis integrifolia,1,0.49,1991,Cape Alava,500 m,4091.51
18.1,Macrocystis integrifolia,1,0.26,1991,Point of the Arches,500 m,252.728
16.2,Macrocystis integrifolia,1,0.53,1991,Chibadehl Rocks,500 m,14714.379
16.2,Macrocystis integrifolia,1,0.53,1991,Chibadehl Rocks,500 m,11809.511
16.2,Macrocystis integrifolia,1,0.53,1991,Neah Bay,500 m,207592.008
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,6553.252
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,15398.236
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,8406.217
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,3329.377
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,11559.366
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,1508.052
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,2915.402
25.2,Macrocystis integrifolia,1,0.17,1991,Destruction Island SW,1000 m,19146.096
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,1000 m,14727.464
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,1000 m,53500.558
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,1000 m,2622.895
21.2,Macrocystis integrifolia,1,0.18,1991,Rock 305,1000 m,2198.608
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,1000 m,19358.559
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,1000 m,8043.017
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,1000 m,11893.263
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,1000 m,15881.885
21.1,Macrocystis integrifolia,1,0.19,1991,Cape Johnson,1000 m,1508.613
19.1,Macrocystis integrifolia,1,0.49,1991,Cape Alava,1000 m,158134.938
19.1,Macrocystis integrifolia,1,0.49,1991,Cape Alava,1000 m,415693.409
19.1,Macrocystis integrifolia,1,0.49,1991,Cape Alava,1000 m,2297.919
19.1,Macrocystis integrifolia,1,0.49,1991,Cape Alava,1000 m,4091.51
18.1,Macrocystis integrifolia,1,0.26,1991,Point of the Arches,1000 m,4680.566
18.1,Macrocystis integrifolia,1,0.26,1991,Point of the Arches,1000 m,5958.961
17.2,Macrocystis integrifolia,1,0.3,1991,Anderson Point,1000 m,1232.735
17.2,Macrocystis integrifolia,1,0.3,1991,Anderson Point,1000 m,453.599
17.2,Macrocystis integrifolia,1,0.3,1991,Anderson Point,1000 m,328.692
17.2,Macrocystis integrifolia,1,0.3,1991,Anderson Point,1000 m,64458.943
17.2,Macrocystis integrifolia,1,0.3,1991,Anderson Point,1000 m,830.977
16.2,Macrocystis integrifolia,1,0.53,1991,Chibadehl Rocks,1000 m,28125.328
16.2,Macrocystis integrifolia,1,0.53,1991,Chibadehl Rocks,1000 m,11809.511
16.2,Macrocystis integrifolia,1,0.53,1991,Neah Bay,1000 m,421915.125
16.2,mixed,3,0.53,1991,Chibadehl Rocks,500 m,211001.681
16.2,mixed,3,0.53,1991,Chibadehl Rocks,1000 m,406480.407
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,500 m,1006.331
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,500 m,12610.473
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,500 m,2380.786
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,500 m,69284.023
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,500 m,6364.191
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,500 m,2736.938
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,500 m,8935.773
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,500 m,86860.33
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,500 m,1428.949
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,500 m,2566.8
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,500 m,1705.801
16.2,Nereocystis luetkeana,2,0.53,1991,Chibadehl Rocks,500 m,21154.417
16.2,Nereocystis luetkeana,2,0.53,1991,Neah Bay,500 m,99108.429
21.1,Nereocystis luetkeana,2,0.19,1991,Cape Johnson,1000 m,3175.115
21.1,Nereocystis luetkeana,2,0.19,1991,Cape Johnson,1000 m,1698.832
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,5636.403
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,4503.586
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,839.894
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,1006.331
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,26506.045
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,600.018
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,2735.403
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,2380.786
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,69284.023
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,719.025
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,10622.205
19.1,Nereocystis luetkeana,2,0.49,1991,Cape Alava,1000 m,2736.938
17.2,Nereocystis luetkeana,2,0.3,1991,Anderson Point,1000 m,9518.786
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,92107.767
17.2,Nereocystis luetkeana,2,0.3,1991,Anderson Point,1000 m,1193.626
17.2,Nereocystis luetkeana,2,0.3,1991,Anderson Point,1000 m,484.955
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,1294.983
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,1885.151
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,13510.992
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,22435.57
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,5422.762
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,21580.633
17.3,Nereocystis luetkeana,2,0.13,1991,Anderson Point,1000 m,505.069
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,87477.286
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,8168.114
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,1428.949
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,7476.21
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,1634.632
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,1813.471
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,3228.299
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,3029.3
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,1180.627
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,1705.801
16.3,Nereocystis luetkeana,2,0.22,1991,Tatoosh Island,1000 m,1763.866
16.4,Nereocystis luetkeana,2,0.2,1991,Tatoosh Island,1000 m,897.192
16.2,Nereocystis luetkeana,2,0.53,1991,Chibadehl Rocks,1000 m,84807.205
16.2,Nereocystis luetkeana,2,0.53,1991,Chibadehl Rocks,1000 m,33526.202
16.2,Nereocystis luetkeana,2,0.53,1991,Neah Bay,1000 m,201561.089
