SITE,Site,Year,Survey,Source,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,crab,,,0,0,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,crab,,,0,0,
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,6,6,30,crab,,,0,0,
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,12,12,25,crab,,,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,crab,,,0,0,
Pt. of the Arches,Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,4.5-6,5,20,crab,,,0,0,
Pt. of the Arches,Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,crab,,,0,0,
Rock #305,Rock 305,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,57.026,124,40.201,6,6,30,crab,,,0,0,
Rock #305,Rock 305,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,57.026,124,40.201,6,6,30,crab,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-horiz,6,13,crab,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-slope,6,27,crab,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,12,12,30,crab,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,6,6,28,crab,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,12,12,32,crab,,,0,0,
Teawhit Head,Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,52.16,124,36.324,6-horiz,6,30,crab,,,0,0,
Teawhit Head,Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,52.16,124,36.324,6,6,30,crab,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,6,6,30,crab,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,12,12,30,crab,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,18,18,30,crab,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,6,6,30,crab,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,12,12,30,crab,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,18,18,30,crab,,,0,0,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,crab,,,0.02,0.14,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,crab,,,0.18,0.5,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,crab,,,0.15,0.5,
Makah Bay,Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,19.061,124,40.307,6,6,36,crab,,,0.11,0.67,
Cape Alava,Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,3-4.5,4,35,crab,,,0.11,0.68,
Anderson Pt.,Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",48,18.387,124,40.307,6,6,3,crab,,,0,0,
Cape Alava,Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,crab,,,0,0,
Cape Johnson,Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",47,58.385,124,41.037,6,6,3,crab,,,0,0,
Makah Bay,Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",48,19.061,124,40.307,6,6,3,crab,,,0,0,
Pt. of the Arches,Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,crab,,,0,0,
Rock #305,Rock 305,1999,Transect,"Kvitek 1999, Appx B2",47,57.026,124,40.201,6,6,3,crab,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,12,12,3,crab,,,0,0,
Teawhit Head,Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",47,52.16,124,36.324,6,6,3,crab,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,6,6,3,crab,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,12,12,2,crab,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,18,18,3,crab,,,0.01,0.01,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,6,6,4,crab,,,0.01,0.02,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,6-slope,6,14,cucumber,,,0,0,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,12,12,16,cucumber,,,0,0,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,18-21,20,32,cucumber,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,6,6,30,cucumber,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,12,12,30,cucumber,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,18,18,30,cucumber,,,0,0,
Cape Johnson,Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,58.385,124,41.037,4.5-6,5,31,cucumber,,,0,0,
Cape Johnson,Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,58.385,124,41.037,6,6,30,cucumber,,,0,0,
Destruction Island E,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.892,124,28.452,6,6,30,cucumber,,,0,0,
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,12,12,30,cucumber,,,0,0,
Makah Bay,Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,19.061,124,40.307,6,6,36,cucumber,,,0,0,
Makah Bay,Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,19.061,124,40.307,6,6,30,cucumber,,,0,0,
Neah Bay,Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.143,124,37.877,6,6,16,cucumber,,,0,0,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,6,6,30,cucumber,,,0,0,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,12,12,30,cucumber,,,0,0,
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,6,6,30,cucumber,,,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,cucumber,,,0,0,
Pt. of the Arches,Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,4.5-6,5,20,cucumber,,,0,0,
Pt. of the Arches,Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,cucumber,,,0,0,
Rock #305,Rock 305,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,57.026,124,40.201,6,6,30,cucumber,,,0,0,
Rock #305,Rock 305,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,57.026,124,40.201,6,6,30,cucumber,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-horiz,6,13,cucumber,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-slope,6,27,cucumber,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,12,12,30,cucumber,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,6,6,28,cucumber,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,12,12,32,cucumber,,,0,0,
Teawhit Head,Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,52.16,124,36.324,6-horiz,6,30,cucumber,,,0,0,
Teawhit Head,Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,52.16,124,36.324,6,6,30,cucumber,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,6,6,30,cucumber,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,18,18,30,cucumber,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,6,6,30,cucumber,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,12,12,30,cucumber,,,0,0,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,cucumber,,,0.1,0.31,
Anderson Pt.,Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,18.387,124,40.307,6,6,30,cucumber,,,0.38,0.56,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,cucumber,,,0.24,0.59,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,cucumber,,,0.3,0.61,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,cucumber,,,0.22,0.62,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,cucumber,,,0.36,0.66,
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,6,6,30,cucumber,,,0.13,0.73,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,12,12,30,cucumber,,,0.13,0.73,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,18,18,30,cucumber,,,0.13,0.73,
Cape Alava,Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,3-4.5,4,35,cucumber,,,0.23,0.94,
Cape Alava,Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,cucumber,,,0.27,1.02,
Anderson Pt.,Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,18.387,124,40.307,6,6,32,cucumber,,,0.38,1.56,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,cucumber,,,1.06,1.62,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,cucumber,,,0.99,1.67,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,cucumber,,,1.31,2.21,
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,12,12,25,cucumber,,,3.04,4.66,
Pt. of the Arches,Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,cucumber,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,6,6,3,cucumber,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,12,12,2,cucumber,,,0,0,
Anderson Pt.,Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",48,18.387,124,40.307,6,6,3,cucumber,,,0.05,0.02,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,18,18,3,cucumber,,,0.03,0.02,
Cape Johnson,Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",47,58.385,124,41.037,6,6,3,cucumber,,,0.08,0.04,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,6,6,4,cucumber,,,0.03,0.04,
Cape Alava,Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,cucumber,,,0.41,0.1,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,12,12,3,cucumber,,,0.08,0.11,
Makah Bay,Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",48,19.061,124,40.307,6,6,3,cucumber,,,0.25,0.12,
Teawhit Head,Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",47,52.16,124,36.324,6,6,3,cucumber,,,0.53,0.51,
Rock #305,Rock 305,1999,Transect,"Kvitek 1999, Appx B2",47,57.026,124,40.201,6,6,3,cucumber,,,0.84,0.61,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,gastropod,limpets,,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,gastropod,snails,,0,0,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,gastropod,limpets,,0.06,0.24,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,gastropod,limpets,,0.06,0.3,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,gastropod,limpets,,0.16,0.42,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,gastropod,snails,,0.32,0.55,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,gastropod,limpets,,0.24,0.6,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,gastropod,snails,,0.29,0.7,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,gastropod,limpets,,0.67,0.82,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,gastropod,limpets,,0.4,0.9,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,gastropod,snails,,0.56,1.07,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,gastropod,limpets,,0.65,1.23,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,gastropod,snails,,0.59,1.72,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,gastropod,limpets,,0.96,1.73,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,gastropod,snails,,1.18,1.79,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,gastropod,snails,,0.7,2.17,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,gastropod,snails,,2.01,3.77,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,gastropod,snails,,3.95,4.79,
Anderson Pt.,Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,18.387,124,40.307,6,6,30,nudibranch,,,0,0,
Cape Alava,Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,3-4.5,4,35,nudibranch,,,0,0,
Cape Alava,Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,nudibranch,,,0,0,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,6-slope,6,14,nudibranch,,,0,0,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,12,12,16,nudibranch,,,0,0,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,18-21,20,32,nudibranch,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,6,6,30,nudibranch,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,12,12,30,nudibranch,,,0,0,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,18,18,30,nudibranch,,,0,0,
Cape Johnson,Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,58.385,124,41.037,4.5-6,5,31,nudibranch,,,0,0,
Cape Johnson,Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,58.385,124,41.037,6,6,30,nudibranch,,,0,0,
Destruction Island E,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.892,124,28.452,6,6,30,nudibranch,,,0,0,
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,6,6,30,nudibranch,,,0,0,
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,12,12,30,nudibranch,,,0,0,
Makah Bay,Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,19.061,124,40.307,6,6,36,nudibranch,,,0,0,
Makah Bay,Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,19.061,124,40.307,6,6,30,nudibranch,,,0,0,
Neah Bay,Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.143,124,37.877,6,6,16,nudibranch,,,0,0,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,6,6,30,nudibranch,,,0,0,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,12,12,30,nudibranch,,,0,0,
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,6,6,30,nudibranch,,,0,0,
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,12,12,25,nudibranch,,,0,0,
Pt. of the Arches,Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,4.5-6,5,20,nudibranch,,,0,0,
Pt. of the Arches,Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,nudibranch,,,0,0,
Rock #305,Rock 305,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,57.026,124,40.201,6,6,30,nudibranch,,,0,0,
Rock #305,Rock 305,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,57.026,124,40.201,6,6,30,nudibranch,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-horiz,6,13,nudibranch,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-slope,6,27,nudibranch,,,0,0,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,12,12,30,nudibranch,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,6,6,28,nudibranch,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,12,12,32,nudibranch,,,0,0,
Teawhit Head,Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,52.16,124,36.324,6-horiz,6,30,nudibranch,,,0,0,
Teawhit Head,Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,52.16,124,36.324,6,6,30,nudibranch,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,6,6,30,nudibranch,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,12,12,30,nudibranch,,,0,0,
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,18,18,30,nudibranch,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,6,6,30,nudibranch,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,12,12,30,nudibranch,,,0,0,
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,18,18,30,nudibranch,,,0,0,
Anderson Pt.,Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,18.387,124,40.307,6,6,32,nudibranch,,,0.13,0.71,
Anderson Pt.,Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",48,18.387,124,40.307,6,6,3,nudibranch,,,0,0,
Cape Alava,Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,nudibranch,,,0,0,
Cape Johnson,Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",47,58.385,124,41.037,6,6,3,nudibranch,,,0,0,
Makah Bay,Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",48,19.061,124,40.307,6,6,3,nudibranch,,,0,0,
Pt. of the Arches,Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,nudibranch,,,0,0,
Rock #305,Rock 305,1999,Transect,"Kvitek 1999, Appx B2",47,57.026,124,40.201,6,6,3,nudibranch,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,6,6,4,nudibranch,,,0,0,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,12,12,3,nudibranch,,,0,0,
Teawhit Head,Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",47,52.16,124,36.324,6,6,3,nudibranch,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,6,6,3,nudibranch,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,12,12,2,nudibranch,,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,18,18,3,nudibranch,,,0,0,
Anderson Pt.,Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",48,18.387,124,40.307,6,6,3,gastropod,scallop,,0,0,
Cape Johnson,Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",47,58.385,124,41.037,6,6,3,gastropod,scallop,,0,0,
Makah Bay,Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",48,19.061,124,40.307,6,6,3,gastropod,scallop,,0,0,
Pt. of the Arches,Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,gastropod,scallop,,0,0,
Rock #305,Rock 305,1999,Transect,"Kvitek 1999, Appx B2",47,57.026,124,40.201,6,6,3,gastropod,scallop,,0,0,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,6,6,4,gastropod,scallop,,0,0,
Tatoosh Island,Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",48,23.428,124,44.283,12,12,3,gastropod,scallop,,0,0,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,6,6,3,gastropod,scallop,,0,0,
