Broad taxonomic category,drop down,Scientific name,common name,taxonomic group,functional group,otter food?,notes
Fish,Black rockfish,Sebastes melanops,black rockfish,rockfish,fish,,
Fish,Copper rockfish,Sebastes caurinus,copper rockfish,rockfish,fish,,
Fish,Quillback rockfish,Sebastes mealiger,quillback rockfish,rockfish,fish,,
Fish,surfperch,,,surfperches,fish,,
Fish,Striped seaperch,Embiotoca lateralis,striped seaperch,surfperches,fish,,
Fish,Tubesnout,Aulorhynchus flavidus,tubesnout,tubesnouts,fish,,
Fish,Blackeye goby,Rhinogobiops nicholsii,Blackeye goby,gobies,fish,,
Fish,Mosshead warbonnet,Chirolophis nugator,Mosshead warbonnet,pricklebacks,fish,,
Fish,snailfish,,,snailfish,fish,,
Fish,Kelp clingfish,Rimicola muscarum ,kelp clingfish,clingfish,fish,,
Brown algae,Brown Algae,,,brown algae,kelp,,
Brown algae,kelp,,,brown algae,kelp,,"for discussion: are ""kelp"" and ""Laminaria"" equivalent?"
Brown algae,Laminaria,,,brown algae,kelp,,
Brown algae,Saccharina dentigera,,,brown algae,kelp,,
Brown algae,Pterygophora californica,Pterygophora californica,stalked kelp,brown algae,kelp,,
Brown algae,Nereocystis luetkeana,Nereocystis luetkeana,bull whip kelp,brown algae,kelp,,
Brown algae,Macrocystis pyrifera,Macrocystis pyrifera,giant kelp,brown algae,kelp,,
Brown algae,Desmarestia,Desmarestia ligulata,flattened acid kelp,brown algae,kelp,,
Brown algae,Costaria costata,Costaria costata,seersucker kelp,brown algae,kelp,,
Brown algae,Alaria marginata,Alaria marginata,,brown algae,kelp,,
Brown algae,Egregia menziesii,Egregia menziesii,feather boa kelp,brown algae,kelp,,
Brown algae,Cymathere triplicata,Cymathere triplicata,,brown algae,kelp,,
Brown algae,Pleurophycus gardneri,Pleurophycus gardneri,tender kelp,brown algae,kelp,,
Brown algae,Laminaria groenlandica,Laminaria groenlandica,,brown algae,kelp,,
Brown algae,Laminaria setchellii,Laminaria setchellii,southern stiff-stiped kelp,brown algae,kelp,,
Brown algae,Laminaria,,,,,,
Brown algae,Stipes,,,brown algae,kelp,,
Red algae,Coralline encrusting,,,red algae,red algae,,
Red algae,Coralline upright,,,red algae,red algae,,
Red algae,coralline algae,,,red algae,red algae,,
Red algae,Foliose red algae,,,red algae,red algae,,
Red algae,Constantina,Constantina rosa-marina,,red algae,red algae,,
Red algae,Erythrophyllum,Erythrophyllum desseroides,,red algae,red algae,,
Red algae,Mazzaella,,,red algae,red algae,,
Red algae,Opuntiella,Opuntiella californica,,red algae,red algae,,
Red algae,Osmundea,Osmundea spp.,,red algae,red algae,,
Green algae,Ulva,Ulva spp.,sea lettuce,green algae,green algae,,
Seagrass,Phyllospadix,Phyllospadix scouleri,surfgrass,surfgrass,surfgrass,,
Birds,Bald eagle,Haliaeetus leucocephalus,Bald eagle,raptors,birds,,
Birds,Black swifts,Cypseloides niger,,,birds,,
Birds,Common murre,Uria aalge,Common murre,auks,birds,,
Birds,Cormorant,,,cormorants,birds,,
