"Year","location","prop.pop","tot.pop"
1990,"Cape Alava",0.588203308236416,124.110898037884
1990,"Cape Johnson",0.0266373917100844,5.62048965082781
1990,"Rock 305",0.0472353147328925,9.96665140864032
1990,"Chibadehl Rock",0.0001290553394514,0.0272306766242455
1990,"Destruction Island",0.142167406473338,29.9973227658744
1990,"Neah Bay",3.67009839186139e-08,7.74390760682753e-06
1990,"Point of the Arches",0.352938254264424,74.4699716497936
1990,"Tatoosh Island",0.0036321157620407,0.766376425790588
1990,"Teahwhit Head",0.0606444508479921,12.7959791289263
1991,"Anderson Point",0.21053755678489,58.1083656726297
1991,"Cape Alava",0.311419492239328,85.9517798580545
1991,"Cape Johnson",0.164083935693702,45.2871662514619
1991,"Rock 305",0.163869604626151,45.2280108768176
1991,"Chibadehl Rock",0.0064130216687579,1.76999398057718
1991,"Destruction Island",0.0841919960829413,23.2369909188918
1991,"Neah Bay",1.82374635770977e-06,0.000503353994727895
1991,"Point of the Arches",0.085936033588471,23.718345270418
1991,"Tatoosh Island",0.180487212488161,49.8144706467325
1991,"Teahwhit Head",0.0173661203372196,4.7930492130726
1992,"Anderson Point",0.166697284978994,52.1762501984252
1992,"Cape Alava",0.182138697061723,57.0094121803193
1992,"Cape Johnson",0.335120225259237,104.892630506141
1992,"Rock 305",0.325047355876217,101.739822389256
1992,"Chibadehl Rock",0.00521993801103993,1.6338405974555
1992,"Destruction Island",0.10542190131175,32.9970551105778
1992,"Neah Bay",1.48445513314943e-06,0.000464634456675772
1992,"Point of the Arches",0.0501461564994778,15.6957469843366
1992,"Tatoosh Island",0.146909218336971,45.9825853394719
1992,"Teahwhit Head",0.0254401976859422,7.9627818756999
1993,"Anderson Point",0.22671144978737,69.6004150847227
1993,"Cape Alava",0.211486714542275,64.9264213644784
1993,"Cape Johnson",0.346636156258991,106.41729997151
1993,"Rock 305",0.356493003938746,109.443352209195
1993,"Chibadehl Rock",0.00709594179133777,2.17845412994069
1993,"Destruction Island",0.0879400342073997,26.9975905016717
1993,"Neah Bay",2.0179563808842e-06,0.00061951260893145
1993,"Point of the Arches",0.0569083734935836,17.4708706625302
1993,"Tatoosh Island",0.199707211029194,61.3101137859625
1993,"Teahwhit Head",0.0515631009498046,15.82987199159
1994,"Anderson Point",0.173578577720245,62.4882879792883
1994,"Cape Alava",0.316372389268283,113.894060136582
1994,"Cape Johnson",0.154317063081829,55.5541427094584
1994,"Rock 305",0.143300327716403,51.5881179779052
1994,"Chibadehl Rock",0.00610540857665054,2.19794708759419
1994,"Destruction Island",0.133985444174551,48.2347599028385
1994,"Neah Bay",0.000339171658214954,0.122101796957383
1994,"Point of the Arches",0.204711932987967,73.6962958756681
1994,"Tatoosh Island",0.104961054263265,37.7859795347754
