"location","Year","prop.pop","tot.pop","mean.init","abund.ratio","log.ratio","Region"
"Cape Johnson",1985,0.225319850039887,14.6457902525927,34.6658744076756,0.422484374124134,-0.861602817190421,"Southern"
"Cape Johnson",1978,0.277622407024301,3.33146888429161,34.6658744076756,0.0961022602549431,-2.34234244345997,"Southern"
"Cape Johnson",1987,0.280192102573738,27.7390181548001,34.6658744076756,0.800182272299995,-0.222915736890893,"Southern"
"Cape Johnson",1983,0.15891422464921,8.26353968175892,34.6658744076756,0.238376784747401,-1.43390272794789,"Southern"
"Cape Johnson",1977,0.128388110530548,2.43937410008041,34.6658744076756,0.0703681687469649,-2.6540142665487,"Southern"
"Cape Johnson",2000,0.241302228569759,121.616323199158,34.6658744076756,3.50824334528341,1.25511544077092,"Southern"
"Cape Johnson",1991,0.190235033626283,52.504869280854,34.6658744076756,1.51459815100549,0.415150156916101,"Southern"
"Cape Johnson",1995,0.0977607605461235,38.6155004157188,34.6658744076756,1.11393412327048,0.107898004451759,"Southern"
"Cape Johnson",1999,0.143373846122257,86.5978030578432,34.6658744076756,2.49807063971446,0.915518689812147,"Southern"
"Cape Johnson",1990,0.107375395637914,22.6562084795998,34.6658744076756,0.65355941157461,-0.425321837158665,"Southern"
"Cape Johnson",1994,0.188619929579242,67.9031746485272,34.6658744076756,1.95879018800958,0.672327031649068,"Southern"
"Cape Johnson",1998,0.149287448850232,64.6414653521504,34.6658744076756,1.86470026954917,0.62310032680154,"Southern"
"Cape Johnson",1989,0.138637237800831,28.8365454625729,34.6658744076756,0.831842437419898,-0.184112234196309,"Southern"
"Cape Johnson",1993,0.27477810116994,84.3568770591717,34.6658744076756,2.43342706625896,0.889300579124741,"Southern"
"Cape Johnson",1997,0.169752159669036,85.215584153856,34.6658744076756,2.45819802932731,0.899428573125371,"Southern"
"Cape Johnson",2001,0.169049582253723,93.8225181508164,34.6658744076756,2.70648064570506,0.995649136187414,"Southern"
"Cape Johnson",1992,0.283447474442257,88.7190595004265,34.6658744076756,2.55926212785167,0.939718985636902,"Southern"
"Cape Johnson",1996,0.156197664156744,67.1649955874,34.6658744076756,1.93749607459861,0.661396456229694,"Southern"
"Cape Johnson",2015,0.100514511690411,140.117229296433,34.6658744076756,4.04193552565946,1.39672366775561,"Southern"
"Cape Johnson",2004,0.143580518007836,106.680324879822,34.6658744076756,3.07738739329771,1.12408098808947,"Southern"
"Cape Johnson",2008,0.145951925972536,166.823051386609,34.6658744076756,4.81231338418717,1.57117792155029,"Southern"
"Cape Johnson",2013,0.136426013639865,202.31977822792,34.6658744076756,5.83628082905427,1.76409374962862,"Southern"
"Cape Johnson",2003,0.117633703468165,79.0498487306068,34.6658744076756,2.28033621194635,0.824322893474966,"Southern"
"Cape Johnson",2007,0.0773197722789775,103.60849485383,34.6658744076756,2.98877488666172,1.09486356653506,"Southern"
"Cape Johnson",2012,0.0886021508300336,97.9053766671872,34.6658744076756,2.82425810224217,1.03824571143274,"Southern"
"Cape Johnson",2002,0.131002518717707,72.1823878134565,34.6658744076756,2.08223185039504,0.733440323452448,"Southern"
"Cape Johnson",2006,0.181328362813263,143.249406622478,34.6658744076756,4.13228885958116,1.41883145674743,"Southern"
"Cape Johnson",2011,0.134023113776249,163.240152579471,34.6658744076756,4.70895817194003,1.54946668864393,"Southern"
"Cape Johnson",2005,0.153782966162001,125.179334455869,34.6658744076756,3.61102486508035,1.28399162819805,"Southern"
"Cape Johnson",2010,0.168316131951436,172.860667514125,34.6658744076756,4.98647936818957,1.6067301233178,"Southern"
"Chibadehl Rock",1985,0.000330064895338378,0.0214542181969946,7.33196076087478,0.00292612288809288,-5.83407697860144,"Northern"
"Chibadehl Rock",1983,0.000776764877184366,0.040391773613587,7.33196076087478,0.00550900024303565,-5.20137211637545,"Northern"
"Chibadehl Rock",1990,0.00547880355105945,1.15602754927354,7.33196076087478,0.157669631218214,-1.84725337668256,"Northern"
"Chibadehl Rock",1991,0.0731136780904721,20.1793751529703,7.33196076087478,2.7522481108536,1.01241807256741,"Northern"
"Chibadehl Rock",1981,0.00100530483518346,0.0361909740666047,7.33196076087478,0.00493605670392141,-5.31118850461655,"Northern"
"Chibadehl Rock",1989,0.00317538259798311,0.660479580380487,7.33196076087478,0.0900822579281896,-2.40703204909462,"Northern"
"Chibadehl Rock",1993,0.0804820588166585,24.7079920567142,7.33196076087478,3.3699023852613,1.21488377814692,"Northern"
"Chibadehl Rock",1978,0.000143320222785404,0.00171984267342484,7.33196076087478,0.000234567904755078,-8.35776543947965,"Northern"
"Chibadehl Rock",1987,0.00172338038757602,0.170614658370026,7.33196076087478,0.0232699906524964,-3.76059070336564,"Northern"
"Chibadehl Rock",1992,0.0592589610231772,18.5480548002545,7.33196076087478,2.52975369143158,0.928121942834723,"Northern"
"Chibadehl Rock",1977,0.000724091222721657,0.0137577332317115,7.33196076087478,0.00187640573652907,-6.27839717431518,"Northern"
"Chibadehl Rock",2000,0.00661391392990829,3.33341262067378,7.33196076087478,0.45464136121155,-0.788246387955105,"Northern"
"Chibadehl Rock",2004,0.00442340063682745,3.28658667316279,7.33196076087478,0.448254809368438,-0.802393437344328,"Northern"
"Chibadehl Rock",1995,0.0505156833727035,19.9536949322179,7.33196076087478,2.72146777417249,1.00117135762138,"Northern"
"Chibadehl Rock",1999,0.0102744695536182,6.2057796103854,7.33196076087478,0.846401094165838,-0.166761925149923,"Northern"
"Chibadehl Rock",2003,0.00448823145220956,3.01609153588482,7.33196076087478,0.411362203679466,-0.888281178420695,"Northern"
"Chibadehl Rock",1994,0.0448183980812965,16.1346233092667,7.33196076087478,2.20058778756226,0.788724500843739,"Northern"
"Chibadehl Rock",1998,0.00935894622572242,4.05242371573781,7.33196076087478,0.552706683505807,-0.592927827750308,"Northern"
"Chibadehl Rock",2002,0.00425646840744809,2.3453140925039,7.33196076087478,0.319875428823773,-1.13982364390512,"Northern"
"Chibadehl Rock",2006,0.00176708444276508,1.39599670978441,7.33196076087478,0.190398824450044,-1.65863433075084,"Northern"
"Chibadehl Rock",1997,0.0232234276822737,11.6581606965014,7.33196076087478,1.59004679330969,0.463763445553614,"Northern"
"Chibadehl Rock",2001,0.00753932070055585,4.1843229888085,7.33196076087478,0.570696315116294,-0.560898058239197,"Northern"
"Chibadehl Rock",2005,0.00616642901066067,5.01947321467778,7.33196076087478,0.684601756390048,-0.378917987318137,"Northern"
"Chibadehl Rock",1996,0.0296768498975892,12.7610454559634,7.33196076087478,1.74046832384314,0.554154228645621,"Northern"
"Chibadehl Rock",2015,0.00355285354261248,4.95267783840179,7.33196076087478,0.675491590848461,-0.392314570440331,"Northern"
"Chibadehl Rock",2007,0.00426641457704779,5.71699553324405,7.33196076087478,0.779736242418454,-0.248799567229927,"Northern"
"Chibadehl Rock",2008,0.00214991063483461,2.45734785561596,7.33196076087478,0.335155620134929,-1.0931603173051,"Northern"
"Chibadehl Rock",2013,0.00467434578305304,6.93205479626765,7.33196076087478,0.945457159735343,-0.0560867015501767,"Northern"
"Chibadehl Rock",2010,0.00162060968669375,1.66436614823448,7.33196076087478,0.227001507852575,-1.48279861900044,"Northern"
"Chibadehl Rock",2011,0.00603932852530353,7.3559021438197,7.33196076087478,1.00326534520925,0.00326002554679201,"Northern"
"Chibadehl Rock",2012,0.00315396248705768,3.48512854819874,7.33196076087478,0.475333769759964,-0.743738048527836,"Northern"
"Destruction Island",1981,0.056092837340432,2.01934214425555,18.3580918140763,0.109997387784454,-2.20729866088575,"Southern"
