"year","grand.mean","SE","q025","q05","q25","q75","q95","q975","complex"
2016,0.197377937914468,0.0753855279509074,0.0582685264170716,0.0755918841577659,0.144624913951535,0.247109027342871,0.324751634236578,0.351028488088236,"SEMY"
2017,0,0,0,0,0,0,0,0,"SEMY"
2018,0,0,0,0,0,0,0,0,"SEMY"
2019,0.12893461998133,0.0832740578680307,0,0,0.0660539876136911,0.185046652251236,0.273505300013386,0.302676168905045,"SEMY"
2021,0.348262617211742,0.216123199100329,0,0,0.189665024577838,0.491383858662367,0.718735683598953,0.798553915017877,"SEMY"
2022,0,0,0,0,0,0,0,0,"SEMY"
2023,0.79807509198113,0.173987100182163,0.453112926919424,0.513870853597292,0.684660485872015,0.911597273057735,1.08288392387045,1.14270008820791,"SEMY"
2024,0,0,0,0,0,0,0,0,"SEMY"
2025,1.17098849655774,0.277653508993108,0.626966256697785,0.717006837411963,0.988173889280742,1.35434853242644,1.62593352287085,1.72297242719319,"SEMY"
2026,4.16830067003153,0.758476307578783,2.66440680989921,2.9258054651752,3.68187721553497,4.65468916816681,5.40879346263912,5.66718426564474,"SEMY"
2016,0,0,0,0,0,0,0,0,"SENE"
2017,0,0,0,0,0,0,0,0,"SENE"
2018,0,0,0,0,0,0,0,0,"SENE"
2019,0,0,0,0,0,0,0,0,"SENE"
2021,0,0,0,0,0,0,0,0,"SENE"
2022,0,0,0,0,0,0,0,0,"SENE"
2023,0,0,0,0,0,0,0,0,"SENE"
2024,0.0151199483665884,0.00979439123740061,0,0,0.0077311437424328,0.0217424619294379,0.0319932938184632,0.0355232089550876,"SENE"
2025,0,0,0,0,0,0,0,0,"SENE"
2026,0,0,0,0,0,0,0,0,"SENE"
