,map_index,ne_can,mi_ne_can,mi_ma_can,mi_tot_can,ma_can,tot_ne_can,tot_ma_can,tot_can,mipctnecan,mipctmacan,totpctnecan,totpctmacan,ne_pl,mi_ne_pl,mi_ma_pl,mi_tot_pl,ma_pl,tot_ne_pl,tot_ma_pl,tot_pl,mipctnepl,mipctmapl,totpctnepl,totpctmapl,rdi_ne,rdi_ma,rdi_sum,year_
22,8.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.9000001,-9999,-9999,-9999,-9999,-9999,-9999,0.16,1989
23,8.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.6000004,-9999,-9999,-9999,-9999,-9999,-9999,0.2,1989
24,9.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.7999992,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.3000031,-9999,-9999,-9999,-9999,-9999,-9999,0.3,1989
25,9.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5,-9999,-9999,-9999,-9999,-9999,-9999,0.11,1989
26,9.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,92.9000015,-9999,-9999,-9999,-9999,-9999,-9999,0.08,1989
27,10.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.2000008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.4000015,-9999,-9999,-9999,-9999,-9999,-9999,0.27,1989
28,10.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.8999996,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,55.2999992,-9999,-9999,-9999,-9999,-9999,-9999,0.16,1989
29,10.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.3999996,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.6000004,-9999,-9999,-9999,-9999,-9999,-9999,0.36,1989
30,10.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.6999998,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31,-9999,-9999,-9999,-9999,-9999,-9999,0.28,1989
31,10.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.6000004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.6999969,-9999,-9999,-9999,-9999,-9999,-9999,0.2,1989
32,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.6999998,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43.7000008,-9999,-9999,-9999,-9999,-9999,-9999,0.22,1989
33,11.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,47.2999992,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,135.5,-9999,-9999,-9999,-9999,-9999,-9999,0.35,1989
34,11.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.2000008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86.5,-9999,-9999,-9999,-9999,-9999,-9999,0.37,1989
35,11.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.1000004,-9999,-9999,-9999,-9999,-9999,-9999,0.12,1989
36,12.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.3999996,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.0999985,-9999,-9999,-9999,-9999,-9999,-9999,0.31,1989
37,13.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.5999999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.7000008,-9999,-9999,-9999,-9999,-9999,-9999,0.17,1989
38,13.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.6000004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39,-9999,-9999,-9999,-9999,-9999,-9999,0.32,1989
39,14.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.9000015,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,178.8000031,-9999,-9999,-9999,-9999,-9999,-9999,0.39,1989
40,15.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.3000002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.6000004,-9999,-9999,-9999,-9999,-9999,-9999,0.16,1989
41,15.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.8999996,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,112.1999969,-9999,-9999,-9999,-9999,-9999,-9999,0.26,1989
42,15.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.2999992,-9999,-9999,-9999,-9999,-9999,-9999,0.16,1989
43,15.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58.0999985,-9999,-9999,-9999,-9999,-9999,-9999,0.22,1989
44,16.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
45,16.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.2000008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,175.6999969,-9999,-9999,-9999,-9999,-9999,-9999,0.36,1989
46,16.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.0999999,-9999,-9999,-9999,-9999,-9999,-9999,0.15,1989
47,16.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.2999992,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.0999985,-9999,-9999,-9999,-9999,-9999,-9999,0.25,1989
48,17.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.2000008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,67.5999985,-9999,-9999,-9999,-9999,-9999,-9999,0.25,1989
49,17.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,52.9000015,-9999,-9999,-9999,-9999,-9999,-9999,0.27,1989
50,17.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.6999998,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.0999985,-9999,-9999,-9999,-9999,-9999,-9999,0.16,1989
51,18.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.8999996,-9999,-9999,-9999,-9999,-9999,-9999,0.17,1989
52,18.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.5999999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.5,-9999,-9999,-9999,-9999,-9999,-9999,0.23,1989
53,19.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,208.8000031,-9999,-9999,-9999,-9999,-9999,-9999,0.4,1989
54,19.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.6000004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,75.4000015,-9999,-9999,-9999,-9999,-9999,-9999,0.35,1989
55,20.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.5,-9999,-9999,-9999,-9999,-9999,-9999,0.08,1989
56,20.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.6000004,-9999,-9999,-9999,-9999,-9999,-9999,0.13,1989
57,21.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.6000004,-9999,-9999,-9999,-9999,-9999,-9999,0.16,1989
58,21.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.6999998,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,-9999,-9999,-9999,-9999,-9999,-9999,0.2,1989
59,22.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
60,22.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.1999998,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.7999992,-9999,-9999,-9999,-9999,-9999,-9999,0.2,1989
61,23.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.4000001,-9999,-9999,-9999,-9999,-9999,-9999,0.3,1989
62,23.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
63,24.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
64,24.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
65,25.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
66,25.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.3999996,-9999,-9999,-9999,-9999,-9999,-9999,0.09,1989
67,26.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
68,27.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
69,28.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
70,29.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
71,30.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
72,31.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
73,32.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
74,33.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
75,34.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
76,35.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
77,36.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
78,37.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
79,38.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
80,39.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
81,40.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
82,41.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,1989
83,1.1,-9999,-9999,-9999,-9999,-9999,31.2999992,0,31.2999992,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,88.5999985,-9999,88.5999985,-9999,-9999,100,0,-9999,-9999,0.35,1990
84,1.2,-9999,-9999,-9999,-9999,-9999,23.6000004,0,23.6000004,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,55.0999985,-9999,55.0999985,-9999,-9999,100,0,-9999,-9999,0.43,1990
85,2.1,-9999,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,1.8,-9999,1.8,-9999,-9999,100,0,-9999,-9999,0.02,1990
86,2.2,-9999,-9999,-9999,-9999,-9999,1.5,0,1.5,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,7.4000001,-9999,7.4000001,-9999,-9999,100,0,-9999,-9999,0.2,1990
87,2.3,-9999,-9999,-9999,-9999,-9999,0.8,0,0.8,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,6.5,-9999,6.5,-9999,-9999,100,0,-9999,-9999,0.12,1990
88,2.4,-9999,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,0,0,-9999,0,-9999,-9999,0,0,-9999,-9999,0,1990
89,2.5,-9999,-9999,-9999,-9999,-9999,14.6999998,0,14.6999998,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,93.3000031,-9999,93.3000031,-9999,-9999,100,0,-9999,-9999,0.16,1990
90,3.1,-9999,-9999,-9999,-9999,-9999,0.1,0,0.1,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,2,-9999,2,-9999,-9999,100,0,-9999,-9999,0.04,1990
91,3.2,-9999,-9999,-9999,-9999,-9999,0.1,0,0.1,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,1.1,-9999,1.1,-9999,-9999,100,0,-9999,-9999,0.11,1990
92,4.1,-9999,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,0,0,-9999,0,-9999,-9999,0,0,-9999,-9999,0,1990
93,4.2,-9999,-9999,-9999,-9999,-9999,0.8,0,0.8,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,12.6000004,-9999,12.6000004,-9999,-9999,100,0,-9999,-9999,0.06,1990
94,4.3,-9999,-9999,-9999,-9999,-9999,0.3,0,0.3,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,2.9000001,-9999,2.9000001,-9999,-9999,100,0,-9999,-9999,0.09,1990
95,5.1,-9999,-9999,-9999,-9999,-9999,1.3,0,1.3,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,16.5,-9999,16.5,-9999,-9999,100,0,-9999,-9999,0.08,1990
96,5.2,-9999,-9999,-9999,-9999,-9999,2.5999999,0,2.5999999,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,44,-9999,44,-9999,-9999,100,0,-9999,-9999,0.06,1990
97,6.1,-9999,-9999,-9999,-9999,-9999,14.3999996,0,14.3999996,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,53.5,-9999,53.5,-9999,-9999,100,0,-9999,-9999,0.27,1990
98,6.2,-9999,-9999,-9999,-9999,-9999,0.2,0,0.2,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,3.7,-9999,3.7,-9999,-9999,100,0,-9999,-9999,0.06,1990
99,7.1,-9999,-9999,-9999,-9999,-9999,7.4000001,0,7.4000001,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,163.8999939,-9999,163.8999939,-9999,-9999,100,0,-9999,-9999,0.05,1990
100,7.2,-9999,-9999,-9999,-9999,-9999,2.4000001,0,2.4000001,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,28.5,-9999,28.5,-9999,-9999,100,0,-9999,-9999,0.08,1990
101,7.3,-9999,-9999,-9999,-9999,-9999,33.9000015,0.5,34.4000015,-9999,-9999,99,1,-9999,-9999,-9999,-9999,3.4000001,131,-9999,134.3999939,-9999,-9999,97,3,-9999,-9999,0.26,1990
102,8.1,-9999,-9999,-9999,-9999,-9999,19.2999992,0.1,19.3999996,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0.7,69.5999985,-9999,70.3000031,-9999,-9999,99,1,-9999,-9999,0.28,1990
103,8.2,-9999,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,0,0,-9999,0,-9999,-9999,0,0,-9999,-9999,0,1990
104,8.3,-9999,-9999,-9999,-9999,-9999,2.8,0,2.8,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,11.8000002,-9999,11.8000002,-9999,-9999,100,0,-9999,-9999,0.24,1990
105,8.4,-9999,-9999,-9999,-9999,-9999,3.3,0,3.3,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,13.1999998,-9999,13.1999998,-9999,-9999,100,0,-9999,-9999,0.25,1990
106,9.1,-9999,-9999,-9999,-9999,-9999,27.2000008,22.5,49.7999992,-9999,-9999,55,45,-9999,-9999,-9999,-9999,72,85.3000031,-9999,157.3000031,-9999,-9999,54,46,-9999,-9999,0.32,1990
107,9.2,-9999,-9999,-9999,-9999,-9999,4.6999998,0,4.6999998,-9999,-9999,100,0,-9999,-9999,-9999,-9999,0,22.1000004,-9999,22.1000004,-9999,-9999,100,0,-9999,-9999,0.21,1990
108,9.3,-9999,-9999,-9999,-9999,-9999,31.5,29.6000004,61.0999985,-9999,-9999,52,48,-9999,-9999,-9999,-9999,88.0999985,207.1000061,-9999,295.2000122,-9999,-9999,70,30,-9999,-9999,0.21,1990
109,10.1,-9999,-9999,-9999,-9999,-9999,32.5,25.7000008,58.2000008,-9999,-9999,56,44,-9999,-9999,-9999,-9999,75.5,81.1999969,-9999,156.6999969,-9999,-9999,52,48,-9999,-9999,0.37,1990
110,10.2,-9999,-9999,-9999,-9999,-9999,7.9000001,7.8000002,15.6000004,-9999,-9999,50,50,-9999,-9999,-9999,-9999,34.7000008,51.4000015,-9999,86,-9999,-9999,60,40,-9999,-9999,0.18,1990
111,10.3,-9999,-9999,-9999,-9999,-9999,0,15.3999996,15.3999996,-9999,-9999,0,100,-9999,-9999,-9999,-9999,47.7999992,0,-9999,47.7999992,-9999,-9999,0,100,-9999,-9999,0.32,1990
112,10.4,-9999,-9999,-9999,-9999,-9999,3.5,8.1999998,11.6999998,-9999,-9999,30,70,-9999,-9999,-9999,-9999,20.2999992,4,-9999,24.2999992,-9999,-9999,16,84,-9999,-9999,0.48,1990
113,10.5,-9999,-9999,-9999,-9999,-9999,4.1999998,23.5,27.7000008,-9999,-9999,15,85,-9999,-9999,-9999,-9999,100.1999969,13.3999996,-9999,113.5,-9999,-9999,12,88,-9999,-9999,0.24,1990
114,10.6,-9999,-9999,-9999,-9999,-9999,1.7,8.3000002,10,-9999,-9999,17,83,-9999,-9999,-9999,-9999,47.5999985,19.3999996,-9999,67,-9999,-9999,29,71,-9999,-9999,0.15,1990
115,11.1,-9999,-9999,-9999,-9999,-9999,9.3000002,41.2999992,50.5999985,-9999,-9999,18,82,-9999,-9999,-9999,-9999,127.0999985,58.4000015,-9999,185.5,-9999,-9999,31,69,-9999,-9999,0.27,1990
116,11.2,-9999,-9999,-9999,-9999,-9999,14.1999998,30.7000008,44.9000015,-9999,-9999,32,68,-9999,-9999,-9999,-9999,82.5,49.2000008,-9999,131.6999969,-9999,-9999,37,63,-9999,-9999,0.34,1990
117,11.3,-9999,-9999,-9999,-9999,-9999,1.1,1.1,2.3,-9999,-9999,50,50,-9999,-9999,-9999,-9999,8.8000002,8.8000002,-9999,17.5,-9999,-9999,50,50,-9999,-9999,0.13,1990
118,12.1,-9999,-9999,-9999,-9999,-9999,18.7999992,9.3999996,28.2000008,-9999,-9999,67,33,-9999,-9999,-9999,-9999,35.2000008,87.5,-9999,122.6999969,-9999,-9999,71,29,-9999,-9999,0.23,1990
