"","Year","location","prop.pop","tot.pop"
"47",1987,"Cape Alava",0.40474618625678,40.0698724394212
"48",1987,"Cape Johnson",0.306256970628423,30.3194400922139
"49",1987,"Chibadehl Rock",2.20303925657639e-07,2.18100886401063e-05
"50",1987,"Destruction Island",0.0614570100833528,6.08424399825192
"51",1987,"Neah Bay",2.98364444262234e-10,2.95380799819611e-08
"52",1987,"Point of the Arches",0.160093810320936,15.8492872217727
"53",1987,"Tatoosh Island",5.39925744177383e-05,0.00534526486735609
"54",1987,"Teahwhit Head",0.0638665010713081,6.3227836060595
"55",1989,"Anderson Point",0.104162357828448,21.6657704283171
"56",1989,"Cape Alava",0.494966902850676,102.953115792941
"57",1989,"Cape Johnson",0.0873832441458521,18.1757147823372
"58",1989,"Chibadehl Rock",4.59058791979494e-07,9.54842287317348e-05
"59",1989,"Destruction Island",0.127728318976019,26.5674903470119
"60",1989,"Neah Bay",6.24569951312992e-10,1.29910549873102e-07
"61",1989,"Point of the Arches",0.263873447841576,54.8856771510477
"62",1989,"Tatoosh Island",0.000111387293242338,0.0231685569944062
"63",1989,"Teahwhit Head",0.0299344280760068,6.22636103980941
"64",1990,"Anderson Point",0.135553533151958,28.6017954950632
"65",1990,"Cape Alava",0.528653770406887,111.545945555853
"66",1990,"Cape Johnson",0.0542954690294637,11.4563439652169
"67",1990,"Chibadehl Rock",0.000708332834790104,0.149458228140712
"68",1990,"Destruction Island",0.134906008717809,28.4651678394576
"69",1990,"Neah Bay",5.90343616528877e-05,0.0124562503087593
"70",1990,"Point of the Arches",0.317009134228317,66.8889273221749
"71",1990,"Tatoosh Island",0.00304994562317773,0.643538526490501
"72",1990,"Teahwhit Head",0.0543852134029893,11.4752800280307
"73",1991,"Anderson Point",0.190257417319251,52.5110471801133
"74",1991,"Cape Alava",0.309602875790169,85.4503937180868
"75",1991,"Cape Johnson",0.187130845951982,51.648113482747
"76",1991,"Chibadehl Rock",0.0351688579052502,9.70660478184904
"77",1991,"Destruction Island",0.0804975833685397,22.217333009717
"78",1991,"Neah Bay",0.00293349828115241,0.809645525598066
"79",1991,"Point of the Arches",0.148102637985344,40.876328083955
"80",1991,"Tatoosh Island",0.144296704817006,39.8258905294936
"81",1991,"Teahwhit Head",0.0409832208157954,11.3113689451595
"82",1992,"Anderson Point",0.148134942290547,46.3662369369413
"83",1992,"Cape Alava",0.188281046051908,58.9319674142473
"84",1992,"Cape Johnson",0.339796696897962,106.356366129062
"85",1992,"Chibadehl Rock",0.0286256269143953,8.95982122420573
